#    L    TT             EE             BB             TE             PP             TP             EP          
   198   0.556316E+04   0.636272E+00   0.000000E+00  -0.162756E+02   0.326746E-07   0.464213E-03  -0.359014E-06
   199   0.557459E+04   0.634553E+00   0.000000E+00  -0.150811E+02   0.325205E-07   0.460107E-03  -0.343002E-06
   200   0.558553E+04   0.633602E+00   0.000000E+00  -0.138655E+02   0.323679E-07   0.456049E-03  -0.327051E-06
   201   0.559591E+04   0.633477E+00   0.000000E+00  -0.126281E+02   0.322168E-07   0.452038E-03  -0.311195E-06
   202   0.560580E+04   0.634185E+00   0.000000E+00  -0.113703E+02   0.320671E-07   0.448072E-03  -0.295439E-06
   203   0.561513E+04   0.635784E+00   0.000000E+00  -0.100915E+02   0.319188E-07   0.444152E-03  -0.279783E-06
   204   0.562383E+04   0.638297E+00   0.000000E+00  -0.879454E+01   0.317719E-07   0.440275E-03  -0.264225E-06
   205   0.563204E+04   0.641766E+00   0.000000E+00  -0.747721E+01   0.316264E-07   0.436441E-03  -0.248765E-06
   206   0.563961E+04   0.646227E+00   0.000000E+00  -0.614077E+01   0.314823E-07   0.432650E-03  -0.233402E-06
   207   0.564669E+04   0.651703E+00   0.000000E+00  -0.478565E+01   0.313396E-07   0.428901E-03  -0.218135E-06
   208   0.565305E+04   0.658244E+00   0.000000E+00  -0.341236E+01   0.311982E-07   0.425192E-03  -0.202964E-06
   209   0.565885E+04   0.665872E+00   0.000000E+00  -0.202126E+01   0.310581E-07   0.421523E-03  -0.187888E-06
   210   0.566409E+04   0.674637E+00   0.000000E+00  -0.613223E+00   0.309193E-07   0.417893E-03  -0.172905E-06
   211   0.566876E+04   0.684569E+00   0.000000E+00   0.811692E+00   0.307819E-07   0.414301E-03  -0.158016E-06
   212   0.567271E+04   0.695696E+00   0.000000E+00   0.225257E+01   0.306457E-07   0.410746E-03  -0.143219E-06
   213   0.567617E+04   0.708063E+00   0.000000E+00   0.370945E+01   0.305108E-07   0.407228E-03  -0.128514E-06
   214   0.567899E+04   0.721660E+00   0.000000E+00   0.518116E+01   0.303771E-07   0.403745E-03  -0.113899E-06
   215   0.568124E+04   0.736679E+00   0.000000E+00   0.666696E+01   0.302447E-07   0.400298E-03  -0.993740E-07
   216   0.568284E+04   0.752935E+00   0.000000E+00   0.816738E+01   0.301135E-07   0.396884E-03  -0.849384E-07
   217   0.568396E+04   0.770583E+00   0.000000E+00   0.968043E+01   0.299835E-07   0.393504E-03  -0.705911E-07
   218   0.568442E+04   0.789621E+00   0.000000E+00   0.112063E+02   0.298547E-07   0.390156E-03  -0.563314E-07
