#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.113130E-01   0.927534E+07   0.925945E+07  -0.238635E+04   0.442881E+04   0.441924E+07   0.924971E+07   0.927268E+07   0.924971E+07  -0.160127E+00   0.300917E+07   0.300865E+07   0.154040E+02   0.551853E+00   0.325113E+00  -0.265994E+11
   0.124916E-01   0.893368E+07   0.891539E+07  -0.171666E+04   0.349849E+04   0.397279E+07   0.890714E+07   0.893061E+07   0.890714E+07  -0.154196E+00   0.289827E+07   0.289775E+07   0.140589E+02   0.435925E+00   0.325017E+00  -0.232019E+11
   0.137930E-01   0.857053E+07   0.854952E+07  -0.167352E+04   0.275263E+04   0.354350E+07   0.854322E+07   0.856700E+07   0.854322E+07  -0.147896E+00   0.278032E+07   0.277979E+07   0.128676E+02   0.342977E+00   0.324934E+00  -0.201575E+11
   0.152300E-01   0.818538E+07   0.816130E+07  -0.130997E+04   0.215606E+04   0.313163E+07   0.815744E+07   0.818134E+07   0.815744E+07  -0.141218E+00   0.265516E+07   0.265462E+07   0.118069E+02   0.268634E+00   0.324861E+00  -0.174338E+11
   0.168167E-01   0.778720E+07   0.775971E+07  -0.101614E+04   0.168221E+04   0.274678E+07   0.775875E+07   0.778258E+07   0.775875E+07  -0.134316E+00   0.252573E+07   0.252518E+07   0.108641E+02   0.209584E+00   0.324797E+00  -0.150192E+11
   0.185687E-01   0.736046E+07   0.732928E+07  -0.913667E+03   0.130398E+04   0.238362E+07   0.733169E+07   0.735522E+07   0.733169E+07  -0.126923E+00   0.238699E+07   0.238643E+07   0.100005E+02   0.162452E+00   0.324741E+00  -0.128549E+11
   0.205033E-01   0.691420E+07   0.687917E+07  -0.566560E+03   0.100453E+04   0.204776E+07   0.688532E+07   0.690832E+07   0.688532E+07  -0.119195E+00   0.224190E+07   0.224134E+07   0.920005E+01   0.125141E+00   0.324692E+00  -0.109343E+11
   0.226393E-01   0.644478E+07   0.640589E+07  -0.512494E+03   0.767852E+03   0.173859E+07   0.641600E+07   0.643825E+07   0.641600E+07  -0.111071E+00   0.208929E+07   0.208872E+07   0.843533E+01   0.956510E-01   0.324648E+00  -0.922851E+10
   0.249980E-01   0.596885E+07   0.592634E+07  -0.388270E+03   0.583176E+03   0.146123E+07   0.594042E+07   0.596171E+07   0.594042E+07  -0.102838E+00   0.193459E+07   0.193402E+07   0.768968E+01   0.726423E-01   0.324610E+00  -0.773891E+10
   0.276023E-01   0.549197E+07   0.544642E+07  -0.270937E+03   0.440017E+03   0.121542E+07   0.546412E+07   0.548432E+07   0.546412E+07  -0.945921E-01   0.177962E+07   0.177905E+07   0.694163E+01   0.548073E-01   0.324577E+00  -0.644726E+10
   0.304780E-01   0.501614E+07   0.496852E+07  -0.234567E+03   0.329566E+03   0.999738E+06   0.498917E+07   0.500814E+07   0.498917E+07  -0.863701E-01   0.162506E+07   0.162449E+07   0.616976E+01   0.410479E-01   0.324547E+00  -0.533179E+10
   0.336533E-01   0.455418E+07   0.450593E+07  -0.157309E+03   0.245369E+03   0.814316E+06   0.452841E+07   0.454608E+07   0.452841E+07  -0.783936E-01   0.147508E+07   0.147454E+07   0.536538E+01   0.305598E-01   0.324521E+00  -0.438306E+10
   0.371593E-01   0.412268E+07   0.407568E+07  -0.118773E+03   0.182159E+03   0.658918E+06   0.409844E+07   0.411479E+07   0.409844E+07  -0.709501E-01   0.133510E+07   0.133459E+07   0.453201E+01   0.226863E-01   0.324498E+00  -0.359280E+10
   0.410307E-01   0.373219E+07   0.368857E+07  -0.105109E+03   0.135248E+03   0.531196E+06   0.370975E+07   0.372486E+07   0.370975E+07  -0.642213E-01   0.120854E+07   0.120809E+07   0.368578E+01   0.168434E-01   0.324478E+00  -0.294538E+10
   0.451338E-01   0.340520E+07   0.336671E+07   0.101989E+03   0.101989E+03   0.431960E+06   0.338470E+07   0.339874E+07   0.338470E+07  -0.585942E-01   0.110254E+07   0.110212E+07   0.308749E+01   0.127028E-01   0.324414E+00  -0.244276E+10
   0.492368E-01   0.314734E+07   0.311496E+07   0.792228E+02   0.792228E+02   0.358457E+06   0.312873E+07   0.314190E+07   0.312873E+07  -0.541630E-01   0.101919E+07   0.101884E+07   0.238794E+01   0.986704E-02   0.324400E+00  -0.206993E+10
