#    L    TT             EE             BB             TE          
   266   0.501348E+04   0.388677E+01   0.144118E-01   0.862715E+02
   267   0.498794E+04   0.400200E+01   0.145066E-01   0.875870E+02
   268   0.496203E+04   0.411955E+01   0.146011E-01   0.888879E+02
   269   0.493562E+04   0.423913E+01   0.146953E-01   0.901667E+02
   270   0.490898E+04   0.436081E+01   0.147892E-01   0.914236E+02
   271   0.488192E+04   0.448451E+01   0.148828E-01   0.926584E+02
   272   0.485463E+04   0.461054E+01   0.149761E-01   0.938639E+02
   273   0.482691E+04   0.473830E+01   0.150690E-01   0.950548E+02
   274   0.479890E+04   0.486839E+01   0.151617E-01   0.962090E+02
   275   0.477053E+04   0.500028E+01   0.152540E-01   0.973486E+02
   276   0.474194E+04   0.513420E+01   0.153460E-01   0.984515E+02
   277   0.471291E+04   0.527015E+01   0.154377E-01   0.995399E+02
   278   0.468367E+04   0.540805E+01   0.155290E-01   0.100592E+03
   279   0.465414E+04   0.554783E+01   0.156200E-01   0.101614E+03
   280   0.462432E+04   0.568950E+01   0.157106E-01   0.102622E+03
   281   0.459436E+04   0.583312E+01   0.158008E-01   0.103593E+03
   282   0.456397E+04   0.597840E+01   0.158907E-01   0.104535E+03
   283   0.453343E+04   0.612557E+01   0.159802E-01   0.105448E+03
   284   0.450268E+04   0.627454E+01   0.160693E-01   0.106332E+03
   285   0.447172E+04   0.642532E+01   0.161581E-01   0.107186E+03
   286   0.444046E+04   0.657777E+01   0.162465E-01   0.108004E+03
   287   0.440899E+04   0.673187E+01   0.163344E-01   0.108800E+03
   288   0.437739E+04   0.688764E+01   0.164220E-01   0.109560E+03
   289   0.434556E+04   0.704500E+01   0.165092E-01   0.110290E+03
   290   0.431360E+04   0.720380E+01   0.165960E-01   0.110991E+03
   291   0.428150E+04   0.736478E+01   0.166824E-01   0.111649E+03
   292   0.424896E+04   0.752683E+01   0.167684E-01   0.112284E+03
   293   0.421657E+04   0.768958E+01   0.168540E-01   0.112876E+03
   294   0.418390E+04   0.785452E+01   0.169392E-01   0.113446E+03
   295   0.415131E+04   0.802016E+01   0.170240E-01   0.113973E+03
   296   0.411843E+04   0.818798E+01   0.171084E-01   0.114470E+03
   297   0.408549E+04   0.835576E+01   0.171923E-01   0.114938E+03
   298   0.405233E+04   0.852573E+01   0.172759E-01   0.115363E+03
   299   0.401918E+04   0.869715E+01   0.173590E-01   0.115751E+03
   300   0.398588E+04   0.886852E+01   0.174417E-01   0.116102E+03
   301   0.395253E+04   0.904135E+01   0.175240E-01   0.116425E+03
   302   0.391918E+04   0.921488E+01   0.176059E-01   0.116719E+03
   303   0.388576E+04   0.938986E+01   0.176874E-01   0.116969E+03
   304   0.385228E+04   0.956629E+01   0.177684E-01   0.117175E+03
   305   0.381880E+04   0.974269E+01   0.178490E-01   0.117353E+03
   306   0.378526E+04   0.991980E+01   0.179293E-01   0.117494E+03
   307   0.375172E+04   0.100976E+02   0.180091E-01   0.117591E+03
   308   0.371819E+04   0.102776E+02   0.180885E-01   0.117666E+03
   309   0.368474E+04   0.104569E+02   0.181674E-01   0.117691E+03
   310   0.365123E+04   0.106361E+02   0.182460E-01   0.117686E+03
   311   0.361779E+04   0.108176E+02   0.183242E-01   0.117637E+03
   312   0.358443E+04   0.109982E+02   0.184019E-01   0.117560E+03
   313   0.355107E+04   0.111796E+02   0.184793E-01   0.117439E+03
   314   0.351780E+04   0.113618E+02   0.185562E-01   0.117288E+03
   315   0.348460E+04   0.115431E+02   0.186327E-01   0.117094E+03
   316   0.345149E+04   0.117252E+02   0.187089E-01   0.116863E+03
   317   0.341845E+04   0.119066E+02   0.187846E-01   0.116596E+03
   318   0.338549E+04   0.120894E+02   0.188600E-01   0.116293E+03
   319   0.335268E+04   0.122714E+02   0.189349E-01   0.115953E+03
   320   0.332002E+04   0.124535E+02   0.190095E-01   0.115584E+03
   321   0.328744E+04   0.126363E+02   0.190837E-01   0.115171E+03
   322   0.325501E+04   0.128176E+02   0.191576E-01   0.114722E+03
   323   0.322273E+04   0.129989E+02   0.192311E-01   0.114236E+03
   324   0.319060E+04   0.131809E+02   0.193042E-01   0.113706E+03
   325   0.315870E+04   0.133600E+02   0.193769E-01   0.113154E+03
   326   0.312687E+04   0.135406E+02   0.194493E-01   0.112552E+03
   327   0.309527E+04   0.137204E+02   0.195214E-01   0.111920E+03
   328   0.306389E+04   0.138988E+02   0.195931E-01   0.111259E+03
   329   0.303265E+04   0.140771E+02   0.196645E-01   0.110554E+03
   330   0.300164E+04   0.142540E+02   0.197356E-01   0.109812E+03
   331   0.297093E+04   0.144302E+02   0.198064E-01   0.109042E+03
   332   0.294037E+04   0.146064E+02   0.198769E-01   0.108242E+03
   333   0.291003E+04   0.147811E+02   0.199471E-01   0.107406E+03
   334   0.287998E+04   0.149551E+02   0.200169E-01   0.106533E+03
   335   0.285008E+04   0.151269E+02   0.200866E-01   0.105623E+03
   336   0.282048E+04   0.152979E+02   0.201559E-01   0.104685E+03
   337   0.279117E+04   0.154683E+02   0.202250E-01   0.103702E+03
   338   0.276209E+04   0.156364E+02   0.202938E-01   0.102698E+03
   339   0.273337E+04   0.158046E+02   0.203624E-01   0.101657E+03
   340   0.270487E+04   0.159706E+02   0.204308E-01   0.100594E+03
   341   0.267660E+04   0.161344E+02   0.204990E-01   0.994872E+02
   342   0.264869E+04   0.162982E+02   0.205670E-01   0.983512E+02
   343   0.262107E+04   0.164591E+02   0.206347E-01   0.971860E+02
   344   0.259382E+04   0.166186E+02   0.207023E-01   0.959916E+02
   345   0.256680E+04   0.167758E+02   0.207697E-01   0.947679E+02
   346   0.254013E+04   0.169324E+02   0.208370E-01   0.935224E+02
   347   0.251377E+04   0.170860E+02   0.209041E-01   0.922402E+02
   348   0.248776E+04   0.172375E+02   0.209711E-01   0.909288E+02
   349   0.246205E+04   0.173875E+02   0.210380E-01   0.895880E+02
   350   0.243671E+04   0.175347E+02   0.211048E-01   0.882254E+02
   351   0.241188E+04   0.176803E+02   0.211714E-01   0.868335E+02
   352   0.238719E+04   0.178239E+02   0.212380E-01   0.854123E+02
   353   0.236294E+04   0.179645E+02   0.213046E-01   0.839767E+02
   354   0.233899E+04   0.181029E+02   0.213710E-01   0.825042E+02
   355   0.231547E+04   0.182392E+02   0.214375E-01   0.810099E+02
   356   0.229232E+04   0.183733E+02   0.215039E-01   0.795010E+02
   357   0.226953E+04   0.185045E+02   0.215703E-01   0.779627E+02
   358   0.224719E+04   0.186320E+02   0.216367E-01   0.764100E+02
   359   0.222514E+04   0.187574E+02   0.217030E-01   0.748278E+02
   360   0.220352E+04   0.188807E+02   0.217695E-01   0.732273E+02
   361   0.218228E+04   0.190010E+02   0.218359E-01   0.716041E+02
   362   0.216147E+04   0.191184E+02   0.219024E-01   0.699611E+02
   363   0.214103E+04   0.192337E+02   0.219690E-01   0.683005E+02
   364   0.212102E+04   0.193446E+02   0.220357E-01   0.666187E+02
   365   0.210139E+04   0.194533E+02   0.221024E-01   0.649214E+02
   366   0.208219E+04   0.195592E+02   0.221692E-01   0.632058E+02
   367   0.206344E+04   0.196606E+02   0.222362E-01   0.614740E+02
   368   0.204497E+04   0.197600E+02   0.223033E-01   0.597276E+02
   369   0.202710E+04   0.198564E+02   0.223705E-01   0.579642E+02
   370   0.200958E+04   0.199492E+02   0.224379E-01   0.561891E+02
   371   0.199244E+04   0.200384E+02   0.225054E-01   0.543985E+02
   372   0.197573E+04   0.201246E+02   0.225731E-01   0.525969E+02
   373   0.195947E+04   0.202073E+02   0.226411E-01   0.507812E+02
   374   0.194364E+04   0.202871E+02   0.227092E-01   0.489553E+02
   375   0.192818E+04   0.203632E+02   0.227775E-01   0.471190E+02
   376   0.191324E+04   0.204365E+02   0.228460E-01   0.452724E+02
   377   0.189873E+04   0.205054E+02   0.229148E-01   0.434184E+02
   378   0.188459E+04   0.205707E+02   0.229838E-01   0.415539E+02
   379   0.187089E+04   0.206331E+02   0.230531E-01   0.396836E+02
   380   0.185771E+04   0.206926E+02   0.231227E-01   0.378050E+02
   381   0.184488E+04   0.207455E+02   0.231925E-01   0.359212E+02
   382   0.183243E+04   0.207971E+02   0.232626E-01   0.340329E+02
   383   0.182049E+04   0.208443E+02   0.233331E-01   0.321386E+02
   384   0.180906E+04   0.208872E+02   0.234038E-01   0.302420E+02
   385   0.179793E+04   0.209279E+02   0.234749E-01   0.283415E+02
   386   0.178730E+04   0.209642E+02   0.235463E-01   0.264394E+02
   387   0.177705E+04   0.209963E+02   0.236180E-01   0.245357E+02
   388   0.176723E+04   0.210247E+02   0.236902E-01   0.226318E+02
   389   0.175785E+04   0.210473E+02   0.237626E-01   0.207278E+02
   390   0.174892E+04   0.210692E+02   0.238355E-01   0.188257E+02
   391   0.174042E+04   0.210861E+02   0.239087E-01   0.169242E+02
   392   0.173229E+04   0.211008E+02   0.239823E-01   0.150262E+02
   393   0.172467E+04   0.211105E+02   0.240564E-01   0.131308E+02
   394   0.171742E+04   0.211165E+02   0.241308E-01   0.112404E+02
